Variabel,Provinsi,Status,Tanggal,Satuan,Nilai,Tipe,warna
6121 Transfer DBH-SDA Minyak Bumi,bangka belitung,Kotor,12/31/2016,Rupiah,1783104800,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,bangka belitung,Potongan,12/31/2016,Rupiah,654479500,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,bangka belitung,"Bersih\
",12/31/2016,Rupiah,1128625300,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,dki jakarta,Kotor,12/31/2016,Rupiah,16264784800,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,dki jakarta,Potongan,12/31/2016,Rupiah,5969913000,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,dki jakarta,"Bersih\
",12/31/2016,Rupiah,10294871800,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,jambi,Kotor,12/31/2016,Rupiah,281077000000,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,jambi,Potongan,12/31/2016,Rupiah,42735170236,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,jambi,"Bersih\
",12/31/2016,Rupiah,238342000000,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,jawa barat,Kotor,12/31/2016,Rupiah,104635000000,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,jawa barat,Potongan,12/31/2016,Rupiah,6313481250,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,jawa barat,"Bersih\
",12/31/2016,Rupiah,98321826873,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,jawa tengah,Kotor,12/31/2016,Rupiah,4859623200,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,jawa tengah,Potongan,12/31/2016,Rupiah,1783694750,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,jawa tengah,"Bersih\
",12/31/2016,Rupiah,3075928450,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,jawa timur,Kotor,12/31/2016,Rupiah,1837430000000,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,jawa timur,Potongan,12/31/2016,Rupiah,265948000000,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,jawa timur,"Bersih\
",12/31/2016,Rupiah,1571490000000,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,kalimantan selatan,Kotor,12/31/2016,Rupiah,15883478400,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,kalimantan selatan,Potongan,12/31/2016,Rupiah,5829956750,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,kalimantan selatan,"Bersih\
",12/31/2016,Rupiah,10053521650,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,kalimantan tengah,Kotor,12/31/2016,Rupiah,10612560800,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,kalimantan tengah,Potongan,12/31/2016,Rupiah,276769882,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,kalimantan tengah,"Bersih\
",12/31/2016,Rupiah,10335790918,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,kalimantan timur,Kotor,12/31/2016,Rupiah,522143000000,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,kalimantan timur,Potongan,12/31/2016,Rupiah,33012708110,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,kalimantan timur,"Bersih\
",12/31/2016,Rupiah,489130000000,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,kalimantan utara,Kotor,12/31/2016,Rupiah,70596577942,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,kalimantan utara,Potongan,12/31/2016,Rupiah,2677576066,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,kalimantan utara,"Bersih\
",12/31/2016,Rupiah,67919001876,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,kepulauan riau,Kotor,12/31/2016,Rupiah,140620000000,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,kepulauan riau,"Bersih\
",12/31/2016,Rupiah,140620000000,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,lampung,Kotor,12/31/2016,Rupiah,22176647200,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,lampung,Potongan,12/31/2016,Rupiah,8135634152,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,lampung,"Bersih\
",12/31/2016,Rupiah,14041013048,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,maluku,Kotor,12/31/2016,Rupiah,326602980,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,maluku,"Bersih\
",12/31/2016,Rupiah,326602980,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,nasional,Kotor,12/31/2016,Rupiah,8310530000000,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,nasional,Potongan,12/31/2016,Rupiah,810445000000,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,nasional,"Bersih\
",12/31/2016,Rupiah,7500090000000,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,papua barat,Kotor,12/31/2016,Rupiah,251290000000,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,papua barat,Potongan,12/31/2016,Rupiah,9671283130,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,papua barat,"Bersih\
",12/31/2016,Rupiah,241619000000,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,riau,Kotor,12/31/2016,Rupiah,4310230000000,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,riau,Potongan,12/31/2016,Rupiah,344419000000,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,riau,"Bersih\
",12/31/2016,Rupiah,3965810000000,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,sulawesi tengah,Kotor,12/31/2016,Rupiah,15860991334,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,sulawesi tengah,Potongan,12/31/2016,Rupiah,4099094200,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,sulawesi tengah,"Bersih\
",12/31/2016,Rupiah,11761897134,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,sumatera selatan,Kotor,12/31/2016,Rupiah,508966000000,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,sumatera selatan,Potongan,12/31/2016,Rupiah,21627256597,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,sumatera selatan,"Bersih\
",12/31/2016,Rupiah,487339000000,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,sumatera utara,Kotor,12/31/2016,Rupiah,3989831200,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,sumatera utara,Potongan,12/31/2016,Rupiah,1464446250,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,sumatera utara,"Bersih\
",12/31/2016,Rupiah,2525384950,MINYAK,#FFEB3B
